Date,A_OC_GOOGLE_SHOPPING,C_DIV_BUY_CONNECTEDl21_0p0_0d0_12,C_DIV_BUY_ESSENTIALSl21_0p0_0d0_12,C_DIV_BUY_PREMIUMl21_0p0_0d0_0,C_DIV_BUY_SSl21_0p0_0d0_12,C_DIV_CONN_DATAl21_0p0_0d0_12,C_DIV_CONN_REMOTEl21_0p0_0d0_12,C_DIV_CONN_TRYl21_0p0_0d0_06,C_DIV_GETNOW_CONNl21_0p0_0d0_0,C_DIV_GETNOW_ESSl21_0p0_0d0_06,C_DIV_GETNOW_PREMl21_0p0_0d0_06,C_DIV_GETNOW_SSl21_0p0_0d0_12,C_PP_PKG_APP_ACCESSl21_0p0_0d0_06,C_PP_PKG_CONNECTEDl21_0p0_0d0_12,C_PP_PKG_ESSl21_0p0_0d0_12,C_PP_PKG_PREMl21_0p0_0d0_06,C_PP_PKG_REMOTEl21_0p0_0d0_0,C_PP_PKG_SCl21_0p0_0d0_06,C_PP_PKG_SSl21_0p0_0d0_06,DIV_GMOC_SHOP_ESSl21_0p0_0d0_0,DIV_GMOC_SHOP_REMOTEl21_0p0_0d0_0,DIV_GMOC_SHOP_SSl21_0p0_0d0_0,DIV_PKG_HDStreamingl21_0p0_0d0_12,DIV_PKG_SS_CRASHl21_0p0_0d0_06,DIV_PKG_SS_ROADSIDEl21_0p0_0d0_0,DIV_PLANPAGE_CONNl21_0p0_0d0_0,DIV_PLANPAGE_ESSl21_0p0_0d0_0,DIV_PLANPAGE_HOMEl21_0p0_0d0_06,OC_APP_Accessl21_0p0_0d0_06,OC_PAGE_ESSl21_0p0_0d0_06,OC_PAGE_PREFl21_0p0_0d0_06,OC_PAGE_PREMl21_0p0_0d0_0,SC_BUYNOWl21_0p0_0d0_06,SC_SHOPNOWl21_0p0_0d0_12
3/20/2024,671,1.659146583,0.108247492,0.607786653,0.828992298,0.096630021,0.251706453,-1.637553143,1.211483687,0.173427374,-0.786969156,0.140181216,0.567337464,0.603774446,-0.745172988,0.064873356,-0.313069091,0.950703979,0.753328344,-0.175224211,-0.194238612,-0.043561262,-0.719339936,-0.701501036,-0.738776676,0.585744668,-0.264246035,1.151076503,-0.212843266,-0.668067496,0.917092625,1.820439327,-0.862742093,-0.12726405
3/21/2024,1099,2.895001569,0.727861616,0.818472256,0.709850435,2.17855739,0.553279766,2.838771913,3.444758594,0.618512179,-0.786969156,0.474336216,1.033234005,0.919902471,-0.283817731,0.730527047,-0.108173055,0.017485146,0.412071655,2.521474505,0.613878523,0.023818114,-0.719339936,-0.701501036,-0.738776676,2.887108268,1.605112328,2.006461193,1.600024371,3.465852828,1.462409162,1.445039273,-0.960059973,-1.143448205
3/22/2024,1238,2.164253143,-0.571930419,1.029157859,1.082168758,2.43396112,0.048319801,3.976528474,2.597654319,0.143080682,-0.742896861,0.168168817,-0.070443238,0.081233417,0.537496022,-0.227352871,-0.333558695,-0.390366048,-0.700794986,0.605681384,-0.12599761,-0.006502605,-0.719339936,-0.701501036,-0.738776676,1.378436575,0.091822225,2.295822603,0.814331171,0.385073798,0.91234102,0.31883911,-0.149077636,-1.241788607
3/23/2024,925,2.317441199,1.123855606,0.467329585,1.250953065,1.273035077,-0.71613348,0.293185264,1.326997907,0.787104908,-0.784324818,0.254675949,-0.364455618,-0.908061344,-1.399182087,-1.138574821,-0.579433938,-0.411104244,0.746604074,0.13156013,-0.503118939,-0.119363061,-0.719339936,-0.701501036,-0.738776676,0.381179015,-0.264246035,2.225269593,0.731395261,-0.434319546,0.122456585,-0.120265196,-0.911401033,0.397218095
3/24/2024,753,1.261685683,0.415725178,0.467329585,0.272996935,0.940236278,-0.624960153,0.356393961,0.78793155,-0.521174671,-0.786969156,0.100320086,-0.491107105,-0.967567795,-0.755312664,-1.484334929,-0.620413146,-1.793650664,-1.684219435,-0.336125089,-0.833549057,-0.478158242,-0.719339936,-0.701501036,-0.738776676,-0.343324341,-1.167133408,0.926717932,-1.644147103,-0.835925784,-0.915070316,-0.741381649,-0.960059973,-0.225604452
3/25/2024,1006,1.131268825,0.18744629,1.590986133,-0.094357144,0.53004241,-0.253253512,1.235569486,0.71092207,-1.107877368,-0.786969156,-0.110859089,-0.724055375,-0.543584327,-1.155829864,-0.708011809,-0.210621073,-0.49405703,-0.742821672,0.16159496,-0.287621037,-0.070513013,-0.719339936,-0.701501036,-0.738776676,0.219231206,-0.149795523,2.293094553,1.466389123,-0.005016326,1.764555331,0.277886377,-0.960059973,-0.323944854
3/26/2024,987,0.510236169,0.639345313,1.029157859,0.372281822,0.870580716,-0.9125068,-0.149275621,-0.251696424,-0.295260413,-0.786969156,0.099471977,0.506273354,1.133753782,0.494402399,0.461056812,0.137702189,-0.411104244,0.079220303,1.107692123,0.890434165,0.124887179,-0.719339936,-0.701501036,-0.738776676,0.457891135,-0.3532631,1.170925417,1.866708747,0.264810587,1.537596322,0.798896149,-0.960059973,-0.323944854
3/27/2024,888,0.746228578,0.345843885,0.88870079,1.1764894,2.0779438,0.405999776,-0.522781563,0.325874673,0.429688322,-0.786969156,0.466703234,0.354743897,1.236030496,0.066001089,0.233660605,-0.292579487,-0.756740849,-0.463764478,2.01731842,-0.129589241,0.044031927,-0.719339936,-0.701501036,-0.738776676,-0.010905154,0.295289802,2.19432034,1.087755922,0.197754736,2.36661162,0.712440379,0.661904702,-0.323944854
3/28/2024,1085,1.973803129,0.653321571,1.38030053,1.638164121,0.669353535,-0.477680163,0.034604227,1.365502646,-1.047183985,-0.786969156,0.592223387,0.22809241,0.155616481,-0.960641102,-0.299713652,-0.415517109,-0.777479046,-1.171493868,0.839523993,-0.097264556,-0.058721622,-0.719339936,-0.701501036,-0.738776676,0.49198541,-0.251529312,1.832054153,0.424854759,0.338717796,0.866502009,0.471274284,1.57020492,0.495558497
3/29/2024,1063,1.75437159,0.811719167,1.450529065,1.186417889,1.257556063,-0.779253476,0.356393961,1.326997907,0.041925045,-0.786969156,0.666008882,-1.022591023,0.120284526,-0.631101633,-0.510738641,-0.374537902,-1.468752256,0.133014461,0.4254724,-0.330720617,-0.105887186,-0.719339936,-0.701501036,-0.738776676,0.49198541,-0.086211905,1.97570008,0.871477823,-0.315805618,0.731500529,0.334765173,-0.003100815,-0.225604452
3/30/2024,801,1.607393861,0.825695425,1.87190027,1.002740849,1.350430147,0.251706453,0.086320434,1.288493167,0.955697637,-0.786969156,0.885669149,-0.871061565,-1.077282816,-1.401717006,-1.667528849,-0.538454731,-0.818955438,-1.467361736,0.451216541,-0.460019359,-0.099149248,-0.719339936,-0.701501036,-0.738776676,-0.258088652,-0.976382555,1.590762859,-0.769949857,-0.614349929,0.701034356,-0.491114946,-0.911401033,-1.143448205
3/31/2024,629,0.352907896,0.825695425,0.537558119,0.119105362,-0.197471244,0.202613123,-1.080167353,-0.636743822,-0.173873648,-0.786969156,0.550666039,-0.744410078,-1.733713362,-1.437205872,-1.728102353,-0.354048298,0.605067374,-1.736332525,-0.040067474,-1.440534816,-0.372035724,-0.719339936,-0.701501036,-0.738776676,-2.158844514,-1.891986651,0.433505359,-1.602825678,-0.699117271,-0.460593284,-0.766408319,-0.149077636,0.397218095
